id,user_id,task_type,description,related_link,date_from,date_to,status,priority,created_at,updated_at,created_by,assigned_by,start_time,end_time,duration_minutes
9401fa27-0c06-407c-a71c-29ddaa1afe68,14626a70-e06d-4406-bdff-0ca0271f27c0,Team Meeting,"Meeting with TL at 2 PM discussing the new platform for tracking our daily tasks",,2026-02-07,2026-02-07,done,2,2026-02-07 12:32:08.70292+00,2026-02-07 12:32:08.70292+00,,,,,,
8feacf84-e2a9-436e-aece-310ad9ac4315,14626a70-e06d-4406-bdff-0ca0271f27c0,Session Review,"Hadeel Yasser T-1197 Session Engagemenet Complaint ""The parent wants to complain because the instructor kept changing, which led to the student not understanding the last five sessions. The instructor changed four times, and the student wants the session repeated. 2-In session 12, a substitute teacher attended who was unfamiliar with the student's level. The session was limited to explaining the presentation and did not involve asking the student about his projects or what he had done. The student's mother informed the instructor of this, but she did not provide the instructor with any details about his level; she only attended the session to review the presentation."" S-26394 CS Case, lesson 10 was frozen and lesson 8 isn't valid as the student understood the material correctly and improved in terms of engagement",,2026-02-07,2026-02-07,done,3,2026-02-07 12:34:18.214775+00,2026-02-07 12:34:18.214775+00,,,,,,
2847cf37-6603-4414-923e-9d52874bc0ca,cea54012-b4d5-4643-8164-2e220e64ddf7,Check Flags,Test,,2026-02-07,2026-02-07,done,3,2026-02-07 11:09:52.901189+00,2026-02-08 09:35:48.539472+00,,,,,,
ca81202c-bafe-4ddc-a7b8-9e092a68aa98,52262890-c566-4bb3-b1b3-9ae52851f182,One-to-One Meeting,meeting with reem to handle material,,2026-02-07,2026-02-07,done,2,2026-02-07 12:36:43.98164+00,2026-02-07 12:36:43.98164+00,,,,,,
6c6bb8cc-26fb-400e-abf2-ab5ac8f6e085,8a51fd39-3c02-44e5-a178-2f3aafc2e3e5,Check Flags,Validating flag,,2026-02-07,2026-02-07,done,2,2026-02-07 12:28:51.167303+00,2026-02-07 20:29:04.223928+00,,,,,,
bf9f372f-d21c-40e8-9cdb-a3dd5431bd65,8a51fd39-3c02-44e5-a178-2f3aafc2e3e5,Team Meeting,new dashoard,,2026-02-07,2026-02-07,done,2,2026-02-07 12:41:19.131536+00,2026-02-07 12:41:19.131536+00,,,,,,
4eb8229a-8b53-46c2-8a32-9ec2909db87d,ebf46837-d9bd-46c5-ab0d-f264e608dd7a,Team Meeting,team leader meeting with the mentors,,2026-02-07,2026-02-07,done,3,2026-02-07 12:42:04.535449+00,2026-02-07 12:42:04.535449+00,,,,,,
00a73380-bb2b-48d3-b4bc-67c4dfc80c21,8f645bd2-3df6-4487-ae7b-7c49d8f1d253,Team Meeting,Test,..,2026-02-07,2026-02-07,archived,3,2026-02-07 12:13:48.121512+00,2026-02-07 12:50:21.708488+00,,,,,,
b312b94e-a0d5-4d0b-8d56-2cf9e15033d2,c949b116-b119-4255-90a4-37adbd685d03,Cover Session,3 pm slot,,2026-02-07,2026-02-07,done,2,2026-02-07 13:27:26.841723+00,2026-02-07 13:27:26.841723+00,,,,,,
9a87daec-6a72-415a-92f0-f55e48079cf3,8bbfaf3e-70d2-46f4-8748-47e04282553d,Cover Session,Covering 4 sessions,,2026-02-07,2026-02-07,done,2,2026-02-07 12:29:10.727153+00,2026-02-07 17:17:19.952138+00,,,,,,
41b61d8c-e96c-4c2d-bf46-6479ddda6d67,8f645bd2-3df6-4487-ae7b-7c49d8f1d253,Team Meeting,meet new teamleader and stablishing new webapp task tracker,,2026-02-07,2026-02-07,done,3,2026-02-07 12:51:26.837177+00,2026-02-07 12:51:26.837177+00,,,,,,
8b7ca530-281c-4466-bb07-e66d98821c91,e6e26ca5-3298-4aaa-9ea1-5d8db6956cbc,Study Plan,a,,,,done,2,2026-01-26 11:47:40.848815+00,2026-01-27 17:58:18.404022+00,,,,,,
fc063e6e-4d19-48c0-843f-cb42b9f93550,e6e26ca5-3298-4aaa-9ea1-5d8db6956cbc,Cover Session,a,,,,in_progress,4,2026-01-27 17:58:05.04828+00,2026-01-27 17:58:19.313969+00,,,,,,
2fc6bde2-0514-44c4-8649-17c11f5ddee0,e6e26ca5-3298-4aaa-9ea1-5d8db6956cbc,One-to-One Meeting,a,,,,archived,2,2026-01-27 12:52:20.638813+00,2026-01-28 17:14:48.746776+00,,,,,,
